n_components,n_neighbors,eigen_solver,n_jobs,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
2,9,dense,-1,0.8293114797706048,0.9616911802983281,0.9999869165162044,0.7658142857142858,0.31355084927723387,0.5740761757088496,117.65629587101284,48.50398209900595
3,1,dense,-1,0.8352111579880726,0.6619921585172261,0.9999861847342624,0.7281285714285715,0.021461997213335148,0.44936154008258855,115.44720346402028,47.93841701000929
3,2,dense,-1,0.794324491226063,0.8008030462079716,0.9999914492220031,0.6844857142857143,-0.017918779792553664,0.45592436049954915,117.5202430819918,48.46404558001086
3,3,dense,-1,0.893068202165239,0.9427139410494401,0.9999868721231406,0.8895142857142857,0.06237283663293982,0.5575364786877527,116.99347228600527,47.52177509298781
3,4,dense,-1,0.8753831486063242,0.9530791713742259,0.9999872141733898,0.8230142857142857,0.14244074725957456,0.5587860277562042,116.89560719201108,47.014419357001316
3,5,dense,-1,0.8953182600860947,0.9612330320495402,0.9999840779346392,0.8514285714285714,0.30155245966005895,0.6019096490579252,110.12368476900156,47.68674040900078
3,6,dense,-1,0.8946888377214937,0.9631932010926305,0.9999838549075141,0.8648142857142856,0.3309109943099077,0.6107246927861607,110.21667228697333,47.50620341900503
3,7,dense,-1,0.8971159132188264,0.9644560244840753,0.9999838389540733,0.8490714285714286,0.3237273796936622,0.6068773814027839,110.80343400701531,47.62384198399377
3,8,dense,-1,0.9014546644165725,0.966151482344865,0.9999837850525726,0.8378428571428571,0.30640765839550843,0.6023745754494461,112.50830978000886,47.49122906799312
3,9,dense,-1,0.8987294180741673,0.9714620067788854,0.999983674981897,0.8079571428571427,0.2601159662761876,0.5876561718008972,111.81014199898345,46.95946102999733
4,1,dense,-1,0.8304287215937531,0.6605259828668679,0.9999840576078368,0.7304428571428572,0.02152256562776894,0.4485872139246821,111.28820539297885,46.07896454000729
4,2,dense,-1,0.8421936244154284,0.805820787151581,0.9999883782429579,0.7562142857142857,-0.006824721344863029,0.4808480638076675,110.03829959299765,46.20713235498988
4,3,dense,-1,0.9069185146518313,0.9466448007093518,0.9999848238588914,0.9015285714285713,0.08126626324564337,0.5672746652353012,109.70013235200895,46.536196953005856
4,4,dense,-1,0.9082363070806458,0.963636636013901,0.9999836734601729,0.8645714285714287,0.12138442404934761,0.5715690244510301,107.4067212639784,46.25721859699115
4,5,dense,-1,0.9128462165524934,0.9696277877093374,0.9999807807471907,0.8668714285714284,0.2546408031608029,0.6008010910493744,108.85992720600916,46.329639415984275
4,6,dense,-1,0.9170795875463009,0.9714624601347196,0.9999808300348333,0.8597,0.2543099679110842,0.6005142371114545,106.50747912199586,46.4886193240236
4,7,dense,-1,0.9207773808332023,0.9725685425396507,0.999981162566785,0.8589714285714286,0.2141938266045133,0.5933060031964019,111.31896561401663,46.45121020497754
4,8,dense,-1,0.9240128412682522,0.9727401527394419,0.9999813559939734,0.8508428571428572,0.20076896041700312,0.5896766911147163,109.0206787979987,46.52722978199017
4,9,dense,-1,0.9189072293808904,0.9721819701671839,0.9999813520707214,0.8312285714285714,0.1963200254733371,0.5837312888758523,110.16349040099885,46.399273318995256
5,1,dense,-1,0.8316268681263675,0.6598328861747923,0.9999815919196229,0.7330714285714285,0.01349100235747529,0.44760811866208816,107.0005647969956,45.83973906398751
5,2,dense,-1,0.8647434892667649,0.8064507072064986,0.9999852774008454,0.7881857142857143,-0.0010049203279202652,0.4918789266716266,109.92860388799454,46.17302695100079
5,3,dense,-1,0.9048926747994223,0.9453894183601962,0.9999823657923547,0.9059285714285714,0.11943596551830131,0.5751328528628273,109.22342035299516,46.51806919000228
5,4,dense,-1,0.9152161191596471,0.9641353274316034,0.9999807575172748,0.875042857142857,0.20729882693638416,0.5923424746306434,113.37396784999873,47.482382485002745
5,5,dense,-1,0.9283954979048382,0.9715848662099739,0.9999784125596118,0.8827,0.18021247576225682,0.5925828854634915,109.14638639398618,46.76875358901452
5,6,dense,-1,0.9351534287716489,0.9736344636242724,0.9999785907341614,0.8812,0.18707452940064734,0.5954167662124815,109.15142728897627,46.504075445991475
5,7,dense,-1,0.9382432532929079,0.9750459176522747,0.9999788547148547,0.8776,0.17341071959467047,0.5928642071649998,110.12658972200006,46.289302677003434
5,8,dense,-1,0.9395756331965162,0.9751352845272657,0.9999789408081214,0.8711714285714286,0.17103882368093415,0.5913884458336046,110.33672832298907,46.33196914399741
5,9,dense,-1,0.9418533915878895,0.975366561789397,0.9999789653998316,0.8683714285714286,0.16533202719972953,0.5901888887497226,109.03456318497774,46.86491107501206
6,1,dense,-1,0.8319135377486664,0.6606414141269683,0.9999792951995063,0.7327285714285714,0.012166041738947123,0.44749405396872943,108.65301482198993,45.97031977601
6,2,dense,-1,0.8875394305164253,0.8126230525006078,0.9999833736730577,0.8196428571428571,-0.002049255775149755,0.5039643932973665,109.1037306220096,46.140827799012186
6,3,dense,-1,0.9080227264276418,0.9471748308854026,0.9999803242183966,0.9064,0.10901243375905034,0.5741259333707397,107.26139275700552,46.2280691479973
6,4,dense,-1,0.9202683294481072,0.9653309368877193,0.9999793727654002,0.8873285714285714,0.23764555265464185,0.6021188035307279,110.05097640500753,46.25781740999082
6,5,dense,-1,0.9344796590535303,0.972673802611444,0.999976464808449,0.8943285714285714,0.17229161180015323,0.5947594360170501,109.87965267899563,46.49829792100354
