n_components,n_neighbors,min_dist,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
1,1000,0.1,0.891653986528038,0.9448216595397795,0.977673824467077,0.9998285714285714,0.08968858429904437,0.5896637954656713,109.20733384496998,46.737868533004075
2,5,0.1,0.9690441299715401,0.9666555568267952,0.9892720980574352,0.9628714285714286,0.26634473970479766,0.6351287514034252,18.442193550989032,47.587557434046175
2,50,0.1,0.9585484304163151,0.9573220499692519,0.9851010039985676,0.9983,0.19254380994310033,0.62432265726602,29.829220234998502,46.40120088600088
2,500,0.1,0.9534354733063513,0.9546889263904581,0.9808297687246946,0.9998714285714286,0.17650045664491498,0.6207333032376918,70.03531869198196,47.73508276598295
2,1000,0.1,0.952167331207185,0.9557543311928836,0.9791262328464096,0.9999142857142856,0.18701364584742608,0.6231446722230741,110.31505353696411,46.65668450697558
3,5,0.1,0.9827806286915607,0.9662214335769346,0.9897486483349784,0.9667,0.24867696339453074,0.6349260754656096,17.541199224011507,46.67401224299101
3,50,0.1,0.9807495773922743,0.9597987500536305,0.9838452516157308,0.9984428571428573,0.16543086823444972,0.6241153602414963,29.45373180898605,46.829945490986574
3,500,0.1,0.977163045063856,0.9579560931310156,0.9819828140971841,0.9999142857142856,0.1411810589797344,0.6188463337583415,72.0282246620045,45.92365926702041
3,1000,0.1,0.9751722380332651,0.9589381390958626,0.9823299048239417,1.0,0.21413332255101442,0.6331827589712401,106.57528467196971,46.91602662502555
4,5,0.1,0.9865846173648156,0.9681926690788438,0.9901214633469574,0.9659571428571427,0.22836173206524155,0.6317949396038173,18.753253088041674,46.393935387954116
4,50,0.1,0.9841515581425282,0.9599742860003146,0.9840912998523647,0.9985428571428573,0.1203447380186949,0.6157844278904061,29.145227749017067,46.06693739898037
4,500,0.1,0.9809178353331521,0.9546431088483046,0.9828913704852766,0.9999142857142856,0.11570982982982628,0.6136587378480585,70.09687423397554,47.370129634975456
4,1000,0.1,0.9813062225591007,0.9542864708322012,0.9825127864087807,1.0,0.25856772972786457,0.6423295273420773,108.2171602610033,46.89398268802324
5,5,0.1,0.9855820059207986,0.9689291806701658,0.9901665015961492,0.9681285714285713,0.2533396080943891,0.6371625729035552,18.455711138027254,46.80186240299372
5,50,0.1,0.9848301402971841,0.9651563319651617,0.9839770891614765,0.9984,0.18730825030667822,0.6303435266815095,30.39299901202321,46.43427179194987
5,500,0.1,0.9821980693048067,0.9601414927849206,0.9840320458375085,0.9998714285714286,0.15507773024207366,0.6226513350131443,70.4372374949744,46.16023234202294
5,1000,0.1,0.9827244211489782,0.9633030948328876,0.9792054104437072,1.0,0.1519714177301466,0.623758704653661,107.60758965101559,46.36229998001363
6,5,0.1,0.9863390329362298,0.9689410723224118,0.990110125624998,0.9666428571428572,0.26035464633675315,0.6384334966226508,18.56636353896465,46.73048234498128
6,50,0.1,0.9850910830484962,0.9635128841725898,0.9842775775979985,0.9985428571428573,0.2050043484983065,0.6335747190528503,31.383423451974522,45.940250119019765
6,500,0.1,0.9835367218225762,0.959752845272657,0.9821821975773336,0.9998857142857143,0.16847151814770664,0.6258929203902642,69.41704220103566,46.464676011994015
6,1000,0.1,0.9827267308324872,0.9594157187191625,0.9815538566541907,1.0,0.19650271358817867,0.6314182612971275,109.81332026195014,46.85876345803263
7,5,0.1,0.9867620611243797,0.9700646811492641,0.9902668654220983,0.9663714285714287,0.2868970629728049,0.6439656736791558,18.622080446977634,46.93605571001535
7,50,0.1,0.9852482802511334,0.9604689487007136,0.9835440416540859,0.9985857142857143,0.11083471732859933,0.6143187237824149,30.363135442021303,46.446253444999456
7,500,0.1,0.9837105616177796,0.9547227664716903,0.9805839705586061,0.9999142857142856,0.2427092999296181,0.6400945886349536,72.30629554996267,46.56722604599781
7,1000,0.1,0.9838905567552879,0.9557444975186992,0.9810370266335462,1.0,0.25024653302802513,0.6417689121336932,108.20213049597805,45.90669582400005
8,5,0.1,0.986935484747508,0.9693948057148578,0.9901155602400726,0.9705285714285714,0.2885764066200591,0.6450639416541848,18.532544796005823,46.79919950402109
8,50,0.1,0.9853063069376314,0.9572047194771391,0.983795678313251,0.9988142857142857,0.1606372095532356,0.6236333686738083,30.744274075026624,45.97149082599208
8,500,0.1,0.9841221958439998,0.9573028273958497,0.9810417235060805,0.9999142857142856,0.2510366220670245,0.6422668415030159,72.29915118502686,46.4543125309865
8,1000,0.1,0.9839617951174864,0.9545533801467329,0.9800766049541966,1.0,0.17763220670193192,0.627214155402391,107.24490779195912,46.65259963000426
9,5,0.1,0.9867745605880754,0.9683451468043419,0.990170562825853,0.970542857142857,0.309403529462349,0.6489791062343542,18.575837238982785,47.42285150196403
9,50,0.1,0.985904667991934,0.9619087882384909,0.984324071382137,0.9985857142857143,0.17150117629677067,0.6267152550861547,30.718173448985908,46.67454750702018
9,500,0.1,0.9843395535088597,0.955013057220085,0.9805085976521303,0.9998714285714286,0.19760172717808047,0.6312634337652647,73.64643757697195,46.518940241017845
9,1000,0.1,0.9842614747650987,0.9466107589777326,0.9815997539671272,1.0,0.09236327626072875,0.6083271512072866,108.09574701602105,47.13301205600146
10,5,0.1,0.9868936086838379,0.9606564163436924,0.9902451315906484,0.9669,0.26049448082079296,0.636939874851535,18.250340970989782,46.84122013597516
10,50,0.1,0.985392866438797,0.9610748509074267,0.9844186257515984,0.9985,0.19248541700458477,0.630606901719842,30.3680041419575,46.83690833597211
10,500,0.1,0.984744446033494,0.955087653561775,0.9814891670843721,0.9998857142857143,0.2588273661653523,0.6434112025923927,74.14055757800816,45.87674160901224
10,1000,0.1,0.9846239878151681,0.9513871358494344,0.9811011996244806,1.0,0.09296265765277274,0.609574516338579,108.26210771000478,46.66162103199167
50,5,0.1,0.9871218182858287,0.966258695994165,0.9902797644251355,0.9683285714285714,0.378241464676992,0.6619341571920844,19.43686361698201,47.231834437989164
50,50,0.1,0.9862339130186062,0.9566792114182744,0.9844552727314279,0.9986,0.15342623965551638,0.622096818272194,33.81551247398602,47.152810571016744
50,500,0.1,0.9851032893325515,0.9540036511591322,0.9811207533808006,0.9998857142857143,0.2046568007683393,0.6325057404329874,78.45289385097567,47.07865096197929
50,1000,0.1,0.9852646997411438,0.9596980063784448,0.9812246343151285,0.9999142857142856,0.3019116856890571,0.6531128086415606,114.91505498799961,46.819390550022945
