n_components,n_neighbors,eigen_solver,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
4,4,dense,0.9384460048910945,0.9894944953734822,6.92434089681008,0.7843142857142857,0.657731288217682,0.673997214839309,214.54450441201334,44.703150152010494
4,5,dense,0.9351460048910945,0.9912099209130043,5.13842195510166,0.7729142857142857,0.6694529484922425,0.6737446320021254,223.9946561520046,45.8774159589957
4,6,dense,0.9377873875548818,0.9925056361998198,4.10237585723488,0.7675142857142857,0.6763166590460727,0.6748247937030121,226.5165398740064,45.76828386900888
4,7,dense,0.9434393933326659,0.9936422579122749,3.424174071650187,0.7535142857142857,0.6974385608889637,0.677606899569638,237.84284937000484,49.139378934007254
4,8,dense,0.9427283669178954,0.9931909243024469,2.9482580532258003,0.7526142857142857,0.7027196211752007,0.6782506396219657,249.07489283299947,48.77003042701108
4,9,dense,0.9381624615648642,0.9925998484046737,2.514200536200528,0.7394285714285713,0.6979075981301125,0.6736196959056443,256.73359086700657,48.948669292993145
5,1,dense,0.5279996167212506,0.601552190266436,0.9843988457436358,0.2727571428571428,0.0858603733175174,0.30075409548374227,179.6516119500011,45.781418147991644
5,2,dense,0.9633381362355734,0.9789788638931396,33.191860160904085,0.8945285714285713,0.5957118586662559,0.6865114860447081,213.20248170899868,46.187315168994246
5,3,dense,0.9679189436952076,0.9892274316033352,12.762561463992796,0.8883,0.676359626088772,0.7043612002774631,241.55221493000863,47.10901087099046
5,4,dense,0.9663888234200477,0.992647230525006,8.089117266966749,0.8704571428571429,0.7007711708213413,0.7060528735247076,241.8495589649974,46.61757167999167
5,5,dense,0.9686065972569827,0.9944147033165053,6.077849007640322,0.8699857142857144,0.7097140739072203,0.7085442177532846,244.21903167299752,47.37321146499016
5,6,dense,0.9691413626417631,0.9954523418617622,4.8958185698763526,0.8720857142857144,0.7132780916676553,0.7099915020913792,244.94677759600745,47.53333662899968
5,7,dense,0.9697780744533272,0.9962359338129085,4.114958940119598,0.8658285714285716,0.7250756453873058,0.7113836450164226,246.8343120369973,47.488237658995786
5,8,dense,0.9701246127883529,0.9959367318335883,3.558108635915322,0.8631714285714286,0.7313996426213951,0.712126483162953,248.398743896003,47.54908479000733
5,9,dense,0.9702782188979305,0.99561307438182,3.0806322240548187,0.8600714285714286,0.732898049420761,0.7117721542543881,251.58658773900243,48.76764257099421
