n_components,perplexity,exaggeration,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
3,30,2,0.987575255638345,0.9807552779486006,0.9865095979688763,0.9364714285714286,0.40619751016843664,0.664897974871587,113.25786312499986,45.90499624700169
3,100,2,0.9819590935743604,0.9817237761537692,0.9934371169220779,0.9196857142857143,0.45489538751093195,0.6689653709205396,282.9098921069999,76.34120410100013
3,250,2,0.9717759435378917,0.9823433820059208,0.9962150305485802,0.8881285714285714,0.46626305953318176,0.662459185191397,335.5425642340001,57.47772490099942
3,500,2,0.9626457989502739,0.9854090914291435,0.9977313024638835,0.8408714285714286,0.5469382171202821,0.6676266467214489,386.4826173649999,59.810109269999884
4,30,2,0.9914039042947242,0.981340121276261,0.986752976931584,0.9395857142857144,0.4318570393031449,0.671486760445652,176.18388292899908,45.00575669099635
4,100,2,0.9853531770662014,0.9831527465926805,0.9934520537854498,0.9278714285714286,0.465912117802066,0.6737674832493854,257.3431187389997,53.227309312000216
4,250,2,0.9817183959498306,0.9859567881812852,0.9963936182882698,0.896257142857143,0.5164511578140996,0.6767979733028178,366.143583135,50.96508043100039
4,500,2,0.9786614118387369,0.98804631523247,0.997730854398716,0.8659714285714286,0.5706006985414646,0.6811097999570768,538.727894916,50.53882863600029
5,30,2,0.9919799651044721,0.9816379703388013,0.9867676684331823,0.9396714285714286,0.4268961436610283,0.6706835678485096,265.64720636900165,45.11510734100011
5,100,2,0.9867080002288231,0.9832595083162908,0.9934661378016786,0.930457142857143,0.4644565768068568,0.674283018081487,355.8573305300006,46.997573539999394
5,250,2,0.9836105773493701,0.9862025127640405,0.9964039673836991,0.901,0.5157040564116697,0.6780226358282763,455.58599133699954,45.996265923000465
5,500,2,0.982312609584829,0.9886059322397495,0.9977365071742252,0.8738285714285714,0.5705010372503593,0.6835023286658569,577.9309437450001,45.44938645000002
6,30,2,0.9920897144001258,0.9816618723452941,0.9867911848840685,0.9398,0.42701456023536016,0.6707549924193423,552.7389530630026,268.41964149500564
6,100,2,0.9864230038756918,0.9831919897601648,0.9934660137816312,0.9302714285714286,0.4637251552183531,0.6740291127288014,535.8529958930003,543.1841099490002
6,250,2,0.9837160848361769,0.9861979591836735,0.9964090505470435,0.9008142857142857,0.5165373436773911,0.6781713245728967,634.3717940850001,173.57434858399938
6,500,2,0.9823026443373425,0.9886092816383737,0.9977414263879586,0.8737571428571429,0.570875692351134,0.6835606669592069,772.4545708730002,151.57209956800034
7,30,2,0.992005770633411,0.9816129928635785,0.9867876323101302,0.9400857142857143,0.4252264972334642,0.6704286685412075,790.8017188189988,109.5330293329971
7,100,2,0.9865748594882943,0.9832940405875034,0.9934725425237507,0.9306857142857143,0.4646276326817637,0.6743419409039051,825.3340576830014,134.21896426899912
7,250,2,0.9837127268566852,0.9861800065786651,0.9964096833177352,0.9007,0.5160432756034173,0.6780452651442066,1003.5453149820005,138.82582961299886
7,500,2,0.9823337914563163,0.9885930452068704,0.9977415425008479,0.8739285714285714,0.5706288666098722,0.6835485464401565,1188.1229768360008,153.06004419499914
8,30,2,0.9920493256868269,0.9816439998283827,0.986783362182801,0.9397285714285714,0.42600704977869436,0.6705291169079349,1505.791151972,103.96270180799911
8,100,2,0.986555644065615,0.9832742845701701,0.9934679141519803,0.9303428571428572,0.46705454384602624,0.6747518830945376,1657.9659521600006,131.70905109199884
8,250,2,0.983673771148263,0.9862655306551492,0.9964135355524657,0.9007571428571429,0.5163730465331159,0.678131191128241,2018.1133243859986,132.38586932199905
8,500,2,0.9822841382663787,0.9886461893797462,0.997753553248443,0.8734285714285713,0.5718496091827648,0.6836909910018036,2113.797876771998,130.66981716900045
9,30,2,0.9920954035152953,0.9816320795732448,0.9867976373468322,0.9395285714285714,0.4266315924619415,0.670618001926444,3159.8681143520007,156.44670811399556
9,100,2,0.9865535546243726,0.9833066773450796,0.9934936241075981,0.9305571428571427,0.46608176804747137,0.6746011037532937,3311.3149951230007,126.1533188329995
9,250,2,0.9836454971897659,0.986235370335941,0.9964127475659903,0.9007571428571427,0.5168855806660595,0.6782221686965838,4184.403837119,103.37747744499939
9,500,2,0.9822761838021824,0.9886451310727514,0.9977504650456227,0.8735571428571429,0.5713100001226948,0.6836075985618297,3740.894895721998,109.12138794899874
10,30,2,0.9920790812751169,0.9816034080345523,0.9867803202915365,0.9398428571428572,0.4260354260045795,0.6705560904331138,6727.841164657002,129.4739664899971
10,100,2,0.9864284856198962,0.9832813094403844,0.9934869669184315,0.9305714285714286,0.4662169051912195,0.6746022323808996,7864.086477972003,100.70895117000327
10,250,2,0.9836441657251548,0.9862519643035911,0.9964194170401017,0.9003428571428572,0.5167282919737537,0.6781095724210511,8137.362243604999,111.06421475000388
