n_components,n_neighbors,n_jobs,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
6,2,-1,0.6408647497962043,0.5783341890365117,0.999977963685,0.452185714286,-0.0226387579138,0.3342813379,66.91686732299968,89.52087509199919
6,3,-1,0.8943516797048181,0.8346895570842212,0.999970420817,0.836228571429,0.188881886996,0.550836254879,68.92248170400126,89.80541044500023
6,4,-1,0.9260646182229023,0.8813026843813909,0.999957044025,0.905657142857,0.157878958931,0.574189272073,71.11181738499909,90.80014046100041
6,5,-1,0.9309267680162464,0.8933718933684196,0.999950474015,0.896385714286,0.140442655044,0.57223531134,74.67301897500147,89.09268773999975
6,6,-1,0.9328196916608269,0.9028834846903022,0.999944527966,0.895314285714,0.148231779301,0.57586094268,76.70049226000083,90.3435981449984
6,7,-1,0.9369172747164738,0.9096743246142185,0.999939183864,0.895628571429,0.150670507175,0.578590298814,77.18006543499905,89.10506034299942
6,8,-1,0.9392500221672411,0.9152788023969223,0.99993413942,0.8961,0.14863068847,0.579865074723,78.63669722099985,89.02923715700126
6,9,-1,0.9383290605380203,0.919068538249217,0.999929600489,0.887228571429,0.151306224151,0.579200558776,81.16319127399947,89.45613765500093
7,1,-1,0.4983327617522132,0.5021164395120347,0.999990644263,0.229171428571,-0.00180530685041,0.2459259971,48.30896177500108,89.10569788400062
7,2,-1,0.6483672925932812,0.577846512592423,0.999976132801,0.461642857143,-0.04738346467,0.3375761059,67.32220432600116,88.58910661499976
7,3,-1,0.9081879252892467,0.8425969881154984,0.999967801101,0.8475,0.1492508391,0.549513590281,69.468761387001,89.89016833799906
7,4,-1,0.9292935500479098,0.8856311371079616,0.999952798829,0.911042857143,0.202233714666,0.585649692027,71.41827661699972,90.83006533299886
7,5,-1,0.9346732334138982,0.8996938589591408,0.999945381483,0.907657142857,0.198163120137,0.588048394777,75.00726114799909,90.17479318500045
7,6,-1,0.9374444331621927,0.908863166626146,0.999938920844,0.908514285714,0.20294213994,0.59156502092,77.40275336999912,91.0491265010005
7,7,-1,0.9401941449880583,0.9152911574160147,0.999933143888,0.907671428571,0.205211266152,0.593686970648,77.22270166099952,90.58539068299979
7,8,-1,0.9423610385709995,0.9203021680991949,0.999927684533,0.907,0.202731335031,0.594493371434,79.2471593930004,91.53531587299949
7,9,-1,0.9443274101511663,0.9242595326287488,0.999922718333,0.904528571429,0.205448224855,0.595728204146,81.26026650399945,90.52217931099949
8,1,-1,0.49995310269868287,0.49893940620396726,0.999990353283,0.227128571429,-0.00123472810673,0.2452061454,47.8381058089999,88.85037113500039
8,2,-1,0.6553669279064114,0.5784118415971855,0.999974519732,0.473014285714,-0.0186869137085,0.3413637071,68.25887736799996,89.17941025000073
8,3,-1,0.9190686068961572,0.8474424123678904,0.999963453665,0.891557142857,0.182350746334,0.568091090958,69.36840727100025,89.06189100200027
8,4,-1,0.9371888834861204,0.895426922471862,0.999949000373,0.9149,0.204163160731,0.590345993263,71.13643299899923,89.21052647600118
8,5,-1,0.9391342219298371,0.9095750625688257,0.999940947479,0.913442857143,0.197349657736,0.59191217038,74.88139432199932,89.73038608099887
8,6,-1,0.9409397265563548,0.9180076283912304,0.999933954813,0.914371428571,0.201692451673,0.595015456076,77.16855601899988,89.47215427600167
8,7,-1,0.9432584757518985,0.9251426283197232,0.999927560176,0.913985714286,0.206143558627,0.597720563362,77.23033254300026,91.06627974799994
8,8,-1,0.9453848547688172,0.9301118544684868,0.999921598892,0.913328571429,0.198667150577,0.59751416647,79.3837394910006,90.71639922600116
8,9,-1,0.9461566294352359,0.934077066201393,0.999916170013,0.911742857143,0.20364158053,0.599140392659,81.32002288799958,90.223849693999
9,1,-1,0.4996229481000529,0.4997710209802211,0.999988724754,0.227728571429,0.00606479871016,0.246639722893,45.39203068700044,89.78518320200055
9,2,-1,0.655563037913133,0.576611784391402,0.999973162857,0.473857142857,-0.0118536290185,0.3412117605,67.77962069200112,88.2905813360012
9,3,-1,0.9232692375899203,0.8591378630779571,0.999960229617,0.891157142857,0.184984204119,0.571717643605,69.67214297499959,91.19273612400139
